# ChronoModel 2.0.18
# pions.chr
# Date Format : BC/AD
Item;MAP;Mean;Std dev;Q1;Q2;Q3;Credibility %;Credibility start;Credibility end;HPD1 %;HPD1 start;HPD1 end
Blanc 1 Begin;32;32;5,06;30;32;34;95,00;23;41;95,00;23;41
Blanc 1 End;236;227;34,08;207;231;251;95,00;155;288;95,00;154;288
Noir Begin;352;354;30,60;334;353;373;95,00;295;414;95,00;294;415
Noir End;620;612;46,11;587;616;641;95,00;517;699;95,00;516;701
Blanc 2 Begin;686;696;41,97;669;694;721;95,00;612;778;95,00;613;781
Blanc 2 End;904;905;39,10;880;905;932;95,00;836;990;95,00;832;986
S1;32;32;5,06;30;32;34;95,00;23;41;95,00;23;41
S2;138;138;13,24;132;138;144;95,00;113;163;95,00;112;163
S3;236;227;34,08;207;231;251;95,00;155;288;95,00;154;288
S4;352;354;30,60;334;353;373;95,00;295;414;95,00;294;415
S5;409;417;34,02;397;414;434;95,00;355;486;95,00;353;485
S6;620;612;46,11;587;616;641;95,00;517;699;95,00;516;701
S7;686;696;41,97;669;694;721;95,00;612;778;95,00;613;781
S8;822;818;41,69;793;819;846;95,00;735;899;95,00;734;900
S9;904;905;39,10;880;905;932;95,00;836;990;95,00;832;986
New Data;32;32;2,01;31;32;33;95,00;28;36;95,00;28;36
New Data;137;138;6,06;134;138;142;95,00;126;150;95,00;126;150
New Data;260;261;19,62;248;261;274;95,00;222;298;95,00;223;299
New Data;334;331;19,54;318;332;344;95,00;294;369;95,00;293;369
New Data;411;412;19,64;399;412;425;95,00;373;449;95,00;373;451
New Data;620;620;28,78;601;620;640;95,00;564;676;95,00;564;676
New Data;689;691;28,55;671;690;710;95,00;635;746;95,00;634;746
New Data;822;822;28,89;803;822;842;95,00;765;877;95,00;765;878
New Data;904;902;28,84;883;903;922;95,00;847;958;95,00;846;959
