"iter","E21","E11","E22","E12"
11000,-872.515,-1711.42,-732.129,-1093.75
11001,-748.011,-1723.8,-739.132,-1192.21
11002,-917.723,-1655.08,-633.252,-1180.27
11003,-872.857,-1667.91,-699.241,-1226.39
11004,-884.704,-1933.15,-821.1,-1307.96
11005,-972.114,-1854.19,-719.353,-1217.13
11006,-964.767,-1828.18,-747.659,-1252.96
11007,-464.339,-1683.69,-661.052,-1282.7
11008,-608.545,-1751.54,-521.872,-1213.96
11009,-639.416,-1771.67,-486.145,-1238.73
11010,-137.8,-1805.02,-651.737,-1257.86
11011,-307.542,-1774.44,-764,-1239.77
11012,-320.927,-1783.77,-751.261,-1319.57
11013,-491.925,-1722.42,-738.865,-1169.34
11014,-483.708,-1730.45,-473.301,-1125.47
11015,-451.024,-1796.93,-456.473,-1087.9
11016,-547.255,-1743.99,-711.886,-1346.25
11017,-549.032,-1715.1,-573.981,-1152.31
11018,-658.994,-1829.88,-663.075,-1185.09
11019,-598.677,-1658.53,-685.383,-1224.44
11020,-199.732,-1752.66,-758.009,-1196.67
11021,-922.06,-1779.24,-777.357,-1244.87
11022,-966.753,-1823.31,-496.652,-1187.32
11023,-857.303,-1791.36,-765.572,-1170.19
11024,-984.04,-1792.29,-423.755,-1317.05
11025,-905.746,-1678.1,-700.737,-1361.17
11026,-930.625,-1827.43,-667.631,-1369.84
11027,-635.744,-1796.48,-701.839,-1263.34
11028,-398.125,-1911.33,-723.686,-1198.2
11029,-407.489,-1929.32,-650.398,-1299.61
11030,-275.295,-1821.26,-660.096,-1145.38
11031,-225.605,-1670.7,-618.395,-1238.07
11032,-507.793,-1774.94,-707.781,-1236.9
11033,-579.041,-1797.5,-611.967,-1214.75
11034,-364.29,-1882.39,-611.319,-1205.6
11035,-378.973,-1919.7,-741.767,-1171.38
11036,-844.149,-1734.03,-780.133,-1175.14
11037,-821.719,-1591.79,-715.242,-1113.24
11038,-795.122,-1783.77,-667.017,-1297.22
11039,-922.18,-1684.17,-571.708,-1185.72
11040,-943.647,-1772.99,-729.559,-1229.03
11041,-799.013,-1809.05,-718.807,-1213.3
11042,-455.23,-1774.21,-661.562,-1127.6
11043,-294.696,-1669.02,-700.69,-779.774
11044,-570.52,-1671.6,-745.954,-1132.52
11045,-863.565,-1628.17,-754.102,-1095.85
11046,-848.742,-1911.83,-823.369,-1311.6
11047,-661.175,-1785.62,-657.554,-1286.66
11048,-611.571,-1808.22,-709.953,-1239.35
11049,-787.589,-1716.82,-643.786,-1249.42
11050,-927.839,-1672.04,-623.426,-1273.75
11051,-1077.46,-1813.42,-578.338,-1336.19
11052,-824.518,-1760.55,-595.646,-1333.09
11053,-996.774,-1703.68,-286.322,-1215.88
11054,-933.548,-1803.64,-417.493,-1233.3
11055,-906.452,-1667.25,-706.497,-1197.72
11056,-986.218,-1728.44,-744.019,-1240.75
11057,-919.591,-1932.08,-448.32,-1315.6
11058,-813.592,-1921.07,-650.598,-1275.22
11059,-408.212,-1778.24,-548.567,-1122.5
11060,-82.2217,-1767.41,-526.726,-1269.72
11061,-261.346,-1810.69,-624.03,-1220.5
11062,-277.014,-1822.98,-673.018,-1226.17
11063,-320.814,-1797.62,-667.965,-1235.31
11064,-346.71,-1774.26,-696.223,-1228.3
11065,-503.589,-1815.43,-725.228,-1241.78
11066,-316.104,-1567.58,-726.432,-1187.32
11067,-672.293,-1824.26,-755.889,-1271.35
11068,-933.653,-1804.62,-581.317,-1236.52
11069,-998.322,-1848.67,-749.274,-1192.32
11070,-721.143,-1829.16,-575.658,-1184.7
11071,-834.161,-1779.68,-600.161,-1131.39
11072,-431.73,-1675.08,-664.884,-1240.49
11073,-417.086,-1754.22,-633.906,-1258.15
11074,-358.267,-1637.52,-558.287,-1160.87
11075,-546.186,-1760.36,-689.658,-1078.84
11076,-363.801,-1683.86,-695.574,-1254.09
11077,-413.283,-1742.62,-622.697,-1129.82
11078,-647.62,-1737.07,-615.531,-1099.14
11079,-488.4,-1731.28,-664.223,-1221.33
11080,-1085.2,-1714.96,-719.214,-1197.7
11081,-858.579,-1906.15,-758.031,-1221.87
11082,-937.64,-1734.31,-562.482,-1169.8
11083,-931.654,-1753.46,-427.259,-1038.78
11084,-203.014,-1929.29,-428.691,-1309.95
11085,-501.385,-1859.84,-448.357,-1316.88
11086,-555.609,-1747.05,-636.726,-1176.22
11087,-428.266,-1719.78,-670.22,-1201.36
11088,-377.772,-1621.76,-692.077,-1235.61
11089,-374.448,-1731.82,-531.881,-1278.94
11090,-686.6,-1870.55,-706.107,-1228.52
11091,-443.901,-1883.68,-693.672,-1260.71
11092,-505.308,-1581.63,-766.118,-1241.11
11093,-848.117,-1715.55,-675.436,-1272.97
11094,-983.239,-1743.82,-675.861,-1135.33
11095,-399.889,-1730.83,-659.582,-1044.37
11096,-314.376,-1729.91,-756.83,-1235.16
11097,-427.73,-1974.14,-711.821,-1292.55
11098,-490.742,-1849.36,-552.573,-1219.97
11099,-443.142,-1791.25,-650.212,-1359.5
11100,-802.369,-1808.89,-636.775,-1149.28
11101,-920.688,-1806.37,-652.925,-1442.07
11102,-931.334,-1798.78,-654.591,-1258.13
11103,-943.68,-1850.33,-692.474,-1171.21
11104,-928.179,-1808.44,-698.604,-1230.35
11105,-796.254,-1649.15,-649.826,-1264.86
11106,-881.423,-1790.82,-674.899,-1220.26
11107,-914.142,-1562.33,-630.976,-1215.88
11108,-1035.26,-1681.92,-697.916,-1212.49
11109,-841.33,-1704.51,-708.609,-1236.16
11110,-375.526,-1617.24,-744.238,-1104.97
11111,-963.28,-1567.68,-679.839,-1194.78
11112,-926.878,-1595.06,-509.326,-1202.42
11113,-926.817,-1861.19,-621.58,-1303.05
11114,-991.974,-1846.83,-748.413,-1412.16
11115,-693.54,-1756.47,-708.225,-1270.85
11116,-904.713,-1798.45,-659.048,-1170.66
11117,-901.214,-1721.91,-648.175,-1218.69
11118,-884.498,-1657.86,-600.606,-1371.3
11119,-666.185,-1728.23,-589.841,-1227.97
11120,-792.777,-1719.42,-664.658,-1245.12
11121,-396.411,-1626.12,-683.935,-1201.75
11122,-275.848,-1928.09,-740.829,-1251.78
11123,-774.104,-1867.99,-696.749,-1363.03
11124,-799.197,-1887.88,-725.293,-1320.33
11125,-231.538,-1933.67,-583.744,-1276.63
11126,-371.358,-1756.27,-555.685,-1247.11
11127,-463.516,-1717.41,-473.146,-1079.32
11128,-866.156,-1520.01,-721.384,-1376.62
11129,-983.685,-1878.78,-715.717,-1326.59
11130,-920.8,-1849.77,-427.512,-1159.09
11131,-787.823,-1671.89,-767.183,-1154.88
11132,-901.774,-1928.77,-679.107,-1027.06
11133,-800.261,-1723.58,-693.986,-1067.51
11134,-948.18,-1763.31,-652.148,-979.451
11135,-952.511,-1853.9,-476.295,-1209.25
11136,-969.224,-1808.66,-559.186,-1269.37
11137,-928.732,-1826.47,-786.363,-1204.93
11138,-752.261,-1692.19,-401.786,-1206.78
11139,-947.681,-1768.34,-685.38,-1429.28
11140,-478.892,-1722.6,-700.23,-1114.96
11141,-212.498,-1719.49,-726.343,-1196.56
11142,-512.609,-1713.35,-666.323,-1283.88
11143,-335.577,-1672.88,-658.501,-1258.14
11144,-897.74,-1677.28,-771.953,-1311.48
11145,-908.934,-1684.19,-543.562,-1302.62
11146,-981.301,-1755.99,-643.855,-1187.98
11147,-1021.52,-1837.07,-716.625,-1108.18
11148,-1022.03,-1746.86,-601.207,-1293.08
11149,-967.085,-1789.03,-578.729,-1108.7
11150,-966.411,-1637.62,-472.289,-1186.96
11151,-830.374,-1866.14,-688.645,-1299.63
11152,-839.087,-1778.53,-634.225,-1214.87
11153,-452.068,-1761.45,-751.037,-1303.77
11154,-516.23,-1869.92,-664.471,-1373.41
11155,-515.764,-1774.15,-652.077,-1238.37
11156,-367.422,-1893.04,-774.881,-1188.14
11157,-394.852,-1867.63,-676.325,-1238.45
11158,-455.371,-1921.51,-700.543,-1157.81
11159,-848.256,-1915.19,-711.133,-1379.29
11160,-931.042,-1798.27,-688.922,-1238.16
11161,-238.793,-1729.99,-639.056,-1033.36
11162,-406.501,-1909.31,-650.834,-1319.61
11163,-284.379,-1661.13,-732.358,-1293.85
11164,-656.197,-1965.08,-736.168,-1373.13
11165,-514.162,-1815.03,-628.483,-1358.23
11166,-424.003,-1947.39,-738.463,-1322.35
11167,-394.674,-1702.46,-608.242,-1205.63
11168,-350.792,-1923.88,-560.656,-1124.9
11169,-886.946,-1874.29,-582.207,-1257.3
11170,-887.315,-1813.96,-686.65,-1230.7
11171,-953.193,-1708.39,-751.992,-1286.67
11172,-871.779,-1711.82,-731.621,-1229.7
11173,-873.703,-1728.55,-683.251,-1317.35
11174,-879.47,-1850.57,-778.101,-1369.15
11175,-923.606,-1789.25,-732.609,-1350.42
11176,-951.856,-1783.26,-664.677,-1366.96
11177,-1006.07,-1744.27,-713.046,-1124.45
11178,-963,-1692.41,-812.907,-1187.56
11179,-830.275,-1779.19,-577.016,-1294.89
11180,-996.645,-1764.24,-579.876,-1128.91
11181,-1028.21,-1763.83,-698.357,-1238.02
11182,-744.752,-1680.05,-733.861,-1176.24
11183,-311.563,-1827.73,-709.811,-1180.61
11184,-418.354,-1839.41,-681.539,-1220.78
11185,-488.156,-1776.36,-707.168,-1350.66
11186,-638.903,-1694.38,-679.32,-1076.18
11187,-822.524,-1608.49,-792.782,-1098.92
11188,-811.937,-1758.21,-652.782,-1175.77
11189,-1043.43,-1773.32,-691.674,-1151.38
11190,-961.557,-1795.86,-695.106,-1389.05
11191,-959.384,-1784.95,-501.776,-1378.11
11192,-809.942,-1669.64,-576.937,-1242.27
11193,-804.837,-1954.78,-746.709,-1426.32
11194,-448.314,-1805.77,-688.988,-1230.46
11195,-385.05,-1738.08,-644.22,-1251.74
11196,-338.683,-1826.97,-712.083,-1189.73
11197,-397.936,-1843.81,-714.175,-1265.4
11198,-323.583,-1729.93,-571.846,-1192.15
11199,-408.413,-1959.33,-627.936,-1273.89
11200,-382.767,-1244.14,-518.493,-1237.62
11201,-251.572,-1766.09,-562.254,-1311.19
11202,-520.023,-1698.74,-584.226,-1215.99
11203,-343.979,-1709.29,-748.153,-1305.5
11204,-393.812,-1742.45,-667.969,-1125.87
11205,-299.09,-1709.8,-726.684,-1196.49
11206,-827.756,-1806.62,-633.545,-1173.95
11207,-364.703,-1902.55,-713.963,-1284.78
11208,-605.183,-1896.41,-683.662,-1212.87
11209,-406.621,-1913.5,-727.168,-1153.59
11210,-252.949,-1773.02,-731.944,-1266.56
11211,-262.419,-1772.54,-696.986,-1236.1
11212,-239.121,-1587.53,-692.497,-1188.85
11213,-240.161,-1879.24,-743.988,-1235.34
11214,-240.823,-1744.41,-704.342,-1238.51
11215,-256.79,-1719.44,-589.895,-1260.93
11216,-958.638,-1869.43,-754.034,-1344.36
11217,-913.356,-1866.11,-608.924,-1345.54
11218,-681.021,-1791.24,-771.185,-1142.41
11219,-321.638,-1855.02,-688.141,-1194.05
11220,-351.881,-1758.12,-555.373,-1133.49
11221,-913.556,-1627.77,-643.382,-1178.41
11222,-447.017,-1693.63,-508.714,-1153.82
11223,-663.49,-1752.2,-608.012,-1399.37
11224,-267.147,-1754.36,-614.681,-1361.34
11225,-576.988,-1763.82,-649.574,-1134.25
11226,-951.143,-1734.57,-680.885,-1293.46
11227,-989.714,-1740.05,-640.154,-1171.8
11228,-935.983,-1659.74,-665.915,-1137.97
11229,-856.856,-1716.71,-418.793,-1227.58
11230,-842.002,-1772.5,-575.083,-1195.19
11231,-553.289,-1709.65,-477.242,-1280.42
11232,-861.507,-1737.19,-675.733,-1304.92
11233,-423.308,-1741.02,-703.936,-1314.68
11234,-369.738,-1719.06,-421.895,-1257.32
11235,-557.597,-1822.33,-524.121,-1227.8
11236,-485.65,-1779.4,-464.805,-1349.97
11237,-527.893,-1876.47,-632.263,-1163.23
11238,-991.889,-1811.3,-644.52,-1235.84
11239,-1108.03,-1726.54,-855.206,-1375.31
11240,-806.405,-1931.56,-704.974,-1264.27
11241,-326.339,-1870.45,-662.032,-1221.91
11242,-833.272,-1877.33,-662.417,-1087.84
11243,-895.52,-1608.49,-669.476,-1206.93
