"iter","Phase.2.alpha","Phase.2.beta","Phase.1.alpha","Phase.1.beta"
11000,-872.515,-732.129,-1711.42,-1093.75
11001,-748.011,-739.132,-1723.8,-1192.21
11002,-917.723,-633.252,-1655.08,-1180.27
11003,-872.857,-699.241,-1667.91,-1226.39
11004,-884.704,-821.1,-1933.15,-1307.96
11005,-972.114,-719.353,-1854.19,-1217.13
11006,-964.767,-747.659,-1828.18,-1252.96
11007,-661.052,-464.339,-1683.69,-1282.7
11008,-608.545,-521.872,-1751.54,-1213.96
11009,-639.416,-486.145,-1771.67,-1238.73
11010,-651.737,-137.8,-1805.02,-1257.86
11011,-764,-307.542,-1774.44,-1239.77
11012,-751.261,-320.927,-1783.77,-1319.57
11013,-738.865,-491.925,-1722.42,-1169.34
11014,-483.708,-473.301,-1730.45,-1125.47
11015,-456.473,-451.024,-1796.93,-1087.9
11016,-711.886,-547.255,-1743.99,-1346.25
11017,-573.981,-549.032,-1715.1,-1152.31
11018,-663.075,-658.994,-1829.88,-1185.09
11019,-685.383,-598.677,-1658.53,-1224.44
11020,-758.009,-199.732,-1752.66,-1196.67
11021,-922.06,-777.357,-1779.24,-1244.87
11022,-966.753,-496.652,-1823.31,-1187.32
11023,-857.303,-765.572,-1791.36,-1170.19
11024,-984.04,-423.755,-1792.29,-1317.05
11025,-905.746,-700.737,-1678.1,-1361.17
11026,-930.625,-667.631,-1827.43,-1369.84
11027,-701.839,-635.744,-1796.48,-1263.34
11028,-723.686,-398.125,-1911.33,-1198.2
11029,-650.398,-407.489,-1929.32,-1299.61
11030,-660.096,-275.295,-1821.26,-1145.38
11031,-618.395,-225.605,-1670.7,-1238.07
11032,-707.781,-507.793,-1774.94,-1236.9
11033,-611.967,-579.041,-1797.5,-1214.75
11034,-611.319,-364.29,-1882.39,-1205.6
11035,-741.767,-378.973,-1919.7,-1171.38
11036,-844.149,-780.133,-1734.03,-1175.14
11037,-821.719,-715.242,-1591.79,-1113.24
11038,-795.122,-667.017,-1783.77,-1297.22
11039,-922.18,-571.708,-1684.17,-1185.72
11040,-943.647,-729.559,-1772.99,-1229.03
11041,-799.013,-718.807,-1809.05,-1213.3
11042,-661.562,-455.23,-1774.21,-1127.6
11043,-700.69,-294.696,-1669.02,-779.774
11044,-745.954,-570.52,-1671.6,-1132.52
11045,-863.565,-754.102,-1628.17,-1095.85
11046,-848.742,-823.369,-1911.83,-1311.6
11047,-661.175,-657.554,-1785.62,-1286.66
11048,-709.953,-611.571,-1808.22,-1239.35
11049,-787.589,-643.786,-1716.82,-1249.42
11050,-927.839,-623.426,-1672.04,-1273.75
11051,-1077.46,-578.338,-1813.42,-1336.19
11052,-824.518,-595.646,-1760.55,-1333.09
11053,-996.774,-286.322,-1703.68,-1215.88
11054,-933.548,-417.493,-1803.64,-1233.3
11055,-906.452,-706.497,-1667.25,-1197.72
11056,-986.218,-744.019,-1728.44,-1240.75
